
 === TRIGGER PATHS === 
Trigger digitisation_step, prescale 1: PASS
Trigger HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40_v1, prescale 1: fail (or not run)
Trigger HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_VBF_v1, prescale 1: fail (or not run)
Trigger HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40_v1, prescale 1: fail (or not run)
Trigger HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v1, prescale 1: fail (or not run)
Trigger HLT_Mu8_TrkIsoVVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu17_TrkIsoVVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu24_TrkIsoVVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu34_TrkIsoVVL_v1, prescale 1: fail (or not run)
Trigger HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, prescale 1: PASS
Trigger HLT_Ele18_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, prescale 1: PASS
Trigger HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, prescale 1: PASS
Trigger HLT_Ele33_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, prescale 1: PASS
Trigger HLT_BTagMu_DiJet20_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_BTagMu_DiJet40_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_BTagMu_DiJet70_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_BTagMu_DiJet110_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_BTagMu_Jet300_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v1, prescale 1: PASS
Trigger HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v1, prescale 1: PASS
Trigger HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu12_Photon25_CaloIdL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu12_Photon25_CaloIdL_L1ISO_v1, prescale 1: fail (or not run)
Trigger HLT_Mu12_Photon25_CaloIdL_L1OR_v1, prescale 1: fail (or not run)
